,name,address,type,buil_time,floors,property_fee,rent,rent_more,area,location,address_for_coordinate,latitude,longitude
1892,浏河汇金广场,上海周边-太仓- 郑和街与滨江大桥交汇处, 纯写字楼(甲级), , , ,,,上海周边,太仓,上海周边 太仓 浏河汇金广场,31.5201320648,121.284568787
1893,东渡名人大厦,虹口-四川北路- 曲阳路438号, 酒店写字楼(甲级), 2003 8, 20, 2.6元/m²•月,,,虹口,四川北路,虹口 四川北路 东渡名人大厦,31.2798576355,121.497886658
1894,光启城办公楼,徐汇-徐家汇- 宜山路425号, 纯写字楼(甲级), , 24, 27.5元/m²•月,5.07元/m²•天,42021元/m²,徐汇,徐家汇,徐汇 徐家汇 光启城办公楼,31.190656662,121.434837341
1895,复兴商厦,卢湾-淮海路/新天地- 瑞金一路139号, 纯写字楼(甲级), 2000 6, 7, 12元/m²•月,5.07元/m²•天,,卢湾,淮海路/新天地,卢湾 淮海路/新天地 复兴商厦,31.2272491455,121.470146179
1896,华博科技大楼,虹口-凉城路/虹口足球场- 花园路88号, 纯写字楼(甲级), , , 1.5元/m²•月,5.08元/m²•天,,虹口,凉城路/虹口足球场,虹口 凉城路/虹口足球场 华博科技大楼,31.2761554718,121.482978821
1897,国际信贸大厦,浦东-外高桥- 基隆路555号, 纯写字楼(乙级), 2000 5, 26, 24元/m²•月,1.52元/m²•天,,浦东,外高桥,浦东 外高桥 国际信贸大厦,31.3559741974,121.596290588
1898,巴黎时韵,卢湾-淮海路/新天地- 襄阳南路500号, 纯写字楼(甲级), 2003 1, 30, 22元/m²•月,4.06元/m²•天,,卢湾,淮海路/新天地,卢湾 淮海路/新天地 巴黎时韵,31.212020874,121.46421051
1899,浙海公寓,长宁-新华路- 幸福路88号, 纯写字楼(甲级), 1998 03, 17, 1.2元/m²•月,,,长宁,新华路,长宁 新华路 浙海公寓,31.2110061646,121.437866211
1900,兴业太古汇,静安-南京西路- 南京西路789号, 纯写字楼(甲级), 2016 12, 56, 46元/m²•月,10.14元/m²•天,,静安,南京西路,静安 南京西路 兴业太古汇,31.2352409363,121.469573975
1901,歆翱商务楼,浦东-北蔡/塘桥- 沪南路御桥路2418, 纯写字楼(甲级), , , ,2.01元/m²•天,,浦东,北蔡/塘桥,浦东 北蔡/塘桥 歆翱商务楼,31.161359787,121.569992065
1902,金郡M11,嘉定-嘉定城区- 白银路1509号, 纯写字楼(甲级), , , ,,,嘉定,嘉定城区,嘉定 嘉定城区 金郡M11,31.3894863129,121.259674072
1903,D5C工业园,浦东-外高桥- 富特北路131号, 纯写字楼(甲级), , 6, ,,,浦东,外高桥,浦东 外高桥 D5C工业园,31.3483295441,121.593742371
1904,嘉禾广场,松江-松江- 文诚路358弄, 纯写字楼(甲级), , 0, 2元/m²•月,,,松江,松江,松江 松江 嘉禾广场,31.0212440491,121.226791382
1905,南外滩大楼,虹口-四川北路- 中山南路760号, 纯写字楼(乙级), , , 12元/m²•月,,,虹口,四川北路,虹口 四川北路 南外滩大楼,31.2629413605,121.489624023
1906,首东国顺大厦,杨浦-五角场- 国顺东路19号, 纯写字楼(甲级), , 15, 15元/m²•月,2.84元/m²•天,,杨浦,五角场,杨浦 五角场 首东国顺大厦,31.310344696,121.548202515
1907,世贸商城,长宁-虹桥开发区- 延安西路2299号, 商业综合体楼(甲级), 1996 10, 30, 31元/m²•月,4.97元/m²•天,,长宁,虹桥开发区,长宁 虹桥开发区 世贸商城,31.20794487,121.411468506
1908,氪空间徐家汇社区,徐汇-万体馆- 裕德路126号, 纯写字楼(乙级), 2010 7, 4, 16元/m²•月,3元/m²•天,,徐汇,万体馆,徐汇 万体馆 氪空间徐家汇社区,31.2028331757,121.44594574
1909,中设广场,宝山-淞南高境- 殷高路1号, 纯写字楼(甲级), 2017 06, 26, 19元/m²•月,2.64元/m²•天,,宝山,淞南高境,宝山 淞南高境 中设广场,31.3986225128,121.409042358
1910,海丽大厦,卢湾-打浦桥- 打浦桥路88号, 纯写字楼(乙级), 1995 5, 26, 19.5元/m²•月,null,,卢湾,打浦桥,卢湾 打浦桥 海丽大厦,31.209526062,121.476280212
