,Unnamed: 0,name,address,type,buil_time,floors,property_fee,rent,rent_more,area,location,address_for_coordinate,latitude,longitude
604,605,柴安大厦,静安-江宁路- 愚园路309号, 纯写字楼(乙级), 2000 6, 20, 12元/m²•月,5.01元/m²•天,,静安,江宁路,静安 江宁路 柴安大厦,31.2451133728,121.454925537
605,606,中城大厦,卢湾-打浦桥- 瑞金一路8号, 纯写字楼(甲级), 2002 5, 27, 12元/m²•月,2.23元/m²•天,,卢湾,打浦桥,卢湾 打浦桥 中城大厦,31.2134399414,121.474891663
606,607,鄂尔多斯艾力大厦,浦东-世纪公园- 桃林路777号, 纯写字楼(甲级), , 0, 20元/m²•月,6.08元/m²•天,,浦东,世纪公园,浦东 世纪公园 鄂尔多斯艾力大厦,31.2398662567,121.54536438
611,613,瑞丰国际大厦,虹口-北外滩- 杨树浦路248号, 纯写字楼(甲级), 2007 10, 28, 26元/m²•月,7.1元/m²•天,,虹口,北外滩,虹口 北外滩 瑞丰国际大厦,31.2568035126,121.522186279
612,614,七建大厦,徐汇-徐家汇- 宜山路439号, 纯写字楼(乙级), 1998 4, 19, 16元/m²•月,3.85元/m²•天,,徐汇,徐家汇,徐汇 徐家汇 七建大厦,31.1903018951,121.434082031
613,615,创研智造,浦东-张江高科- 秀浦路3188弄, 纯写字楼(乙级), 2012 7, 14, 2元/m²•月,2.03元/m²•天,11000元/m²,浦东,张江高科,浦东 张江高科 创研智造,31.1343345642,121.629600525
614,616,OASIS 新天地,卢湾-淮海路/新天地- 太仓路58号, 纯写字楼(甲级), 2005 1, 3, 5元/m²•月,5.67元/m²•天,,卢湾,淮海路/新天地,卢湾 淮海路/新天地 OASIS 新天地,31.2268238068,121.480873108
616,618,祥腾财富广场,闸北-彭浦- 共和新路3088弄，汶水路215号, 纯写字楼(甲级), 2010 7, 10, 8元/m²•月,2.33元/m²•天,25000元/m²,闸北,彭浦,闸北 彭浦 祥腾财富广场,31.3000717163,121.453681946
618,620,嘉汇广场,徐汇-徐家汇- 斜土路2601号, 综合写字楼(丙级), 1997 3, 27, 3元/m²•月,4.36元/m²•天,,徐汇,徐家汇,徐汇 徐家汇 嘉汇广场,31.1933727264,121.449302673
621,623,新宏大楼,虹口-临平/和平公园- 四平路623号, 纯写字楼(丙级), 1990 5, 10, 2元/m²•月,3.04元/m²•天,,虹口,临平/和平公园,虹口 临平/和平公园 新宏大楼,31.2764492035,121.503036499
622,624,中银大厦,浦东-陆家嘴- 银城中路200号, 纯写字楼(甲级), 2002 1, 53, 31.50元/m²•月,10.14元/m²•天,,浦东,陆家嘴,浦东 陆家嘴 中银大厦,31.2441101074,121.509971619
623,625,和一大厦,静安-江宁路- 江宁路420号, 综合写字楼(甲级), 2000 12, 26, 30元/m²•月,3.66元/m²•天,,静安,江宁路,静安 江宁路 和一大厦,31.2412662506,121.460365295
625,627,金汇四季广场,闵行-龙柏- 闵行区金汇538号, 纯写字楼(甲级), , 0, 16元/m²•月,4.26元/m²•天,,闵行,龙柏,闵行 龙柏 金汇四季广场,31.1875801086,121.38053894
626,628,兴园373,闸北-火车站- 中兴路373号, 纯写字楼(甲级), , 0, 18元/m²•月,4.05元/m²•天,,闸北,火车站,闸北 火车站 兴园373,31.2643852234,121.482223511
627,629,李子园大厦,普陀-真如- 交通路4703弄, 纯写字楼(甲级), 2008 3, 18, 12元/m²•月,2.78元/m²•天,22299元/m²,普陀,真如,普陀 真如 李子园大厦,31.2739982605,121.397171021
630,632,长安大厦,闸北-火车站- 长安路1001号, 纯写字楼(乙级), 1990 12, 25, 6元/m²•月,2.64元/m²•天,21900元/m²,闸北,火车站,闸北 火车站 长安大厦,31.2510986328,121.458679199
631,633,道•创空间,闵行-浦江- 新骏环路115号3号楼, 纯写字楼(甲级), , 0, 3.5元/m²•月,1.52元/m²•天,,闵行,浦江,闵行 浦江 道•创空间,31.2028331757,121.44594574
634,636,置地广场,黄浦-南京东路- 南京东路409-459号, 纯写字楼(乙级), 1998 1, 13, 27元/m²•月,4.06元/m²•天,25000元/m²,黄浦-南京东路, 南京东路409,黄浦-南京东路  南京东路409 置地广场,31.2419605255,121.488746643
