,name,age,floors,rent,type_jia, type_yi,type_bing,Shanghai,LuWan,JiaDing,FengXian,BaoShan,XuHui,PuTuo,YangPu,SongJiang,PuDong,HongKou,jinjiao,ChangNing,MinHang,ZhaBei,QingPu,JingAn,HuangPu,hotel,hospital,mall,park1500,store,underground,POIs
60,凯滨国际大厦,2.0,18.0,5.88,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26.0,5.0,2.0,4.0,17.0,0.0,26
61,华盛国际商务花园,14.0,7.0,2.92,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,3.0,3.0,4.0,0.0,25
62,上海国际汽车城大厦,,,2.44,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,1.0,0.0,23
63,康吉大厦,16.0,22.0,2.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,104.0,3.0,8.0,5.0,40.0,1.0,27
64,绿亮松江科创园,,,1.42,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,3.0,6.0,0.0,24
65,徐汇大树下新媒体创意园,1.0,6.0,3.67,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.0,2.0,0.0,4.0,15.0,1.0,26
66,复旦软件园高境园,,3.0,2.54,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0,2.0,2.0,1.0,8.0,0.0,26
67,康桥EONE,1.0,5.0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,22
68,新理想大厦,,,5.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,103.0,4.0,2.0,3.0,0.0,1.0,26
69,红石商务大楼,7.0,10.0,3.28,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,3.0,0.0,23
70,现代通信大厦,8.0,11.0,2.03,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.0,0.0,1.0,1.0,6.0,0.0,25
71,越界智汇园,,4.0,2.03,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0.0,4.0,13.0,1.0,26
72,宝华国际广场,7.0,23.0,5.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,3.0,3.0,4.0,9.0,0.0,26
73,新虹桥中心大厦,20.0,36.0,5.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0,0.0,5.0,10.0,14.0,0.0,25
74,科海大楼,2.0,11.0,3.85,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,0.0,0.0,0.0,4.0,0.0,23
75,耀江国际广场,8.0,28.0,3.55,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96.0,13.0,11.0,11.0,74.0,1.0,27
76,美奥菲斯创意产业园,,,2.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35.0,0.0,9.0,3.0,39.0,1.0,26
77,苏河湾跨界工坊,,,4.17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.0,0.0,1.0,2.0,12.0,1.0,26
78,威海696,,,1.83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,167.0,4.0,19.0,12.0,39.0,2.0,27
