,name,type,age,floors,rent,hotel,hospital,mall,park1500,store,underground,POIs,mean_rent
1037,国正中心,3,3.0,25.0,4.87,8.0,3.0,1.0,0.0,11.0,2.0,6,3.35
1038,法华525创意树林,2,11.0,6.0,5.07,9.0,19.0,2.0,11.0,28.0,0.0,6,4.26
1039,胜康廖氏大厦,3,23.0,26.0,4.36,34.0,8.0,13.0,5.0,30.0,2.0,7,
1040,恒生银行大厦,3,20.0,46.0,10.14,11.0,1.0,2.0,6.0,18.0,1.0,7,6.25
1041,嘉印象,2,6.0,16.0,2.64,11.0,1.0,5.0,1.0,11.0,0.0,6,
1042,绿洲中环中心5号楼,3,9.0,16.0,3.85,6.0,1.0,6.0,3.0,17.0,1.0,7,4.39
1043,陆家嘴金品,3,9.0,12.0,4.06,1.0,0.0,0.0,22.0,11.0,0.0,4,7.45
1044,徐汇晶典大厦,2,13.0,23.0,3.14,20.0,0.0,5.0,6.0,14.0,1.0,6,
1045,中国梦谷,3,,,1.62,1.0,0.0,0.0,0.0,2.0,0.0,3,4.69
1046,中一大楼,2,8.0,7.0,8.45,60.0,3.0,9.0,20.0,30.0,1.0,7,
1047,禾谷文创园,3,1.0,4.0,1.62,2.0,0.0,0.0,1.0,4.0,0.0,4,
1048,阳光世界大厦,2,22.0,30.0,0.91,6.0,1.0,2.0,3.0,13.0,0.0,6,3.55
1049,三和大厦,2,20.0,31.0,4.34,17.0,8.0,2.0,5.0,37.0,0.0,6,
1050,688广场,3,,,8.11,67.0,13.0,17.0,11.0,44.0,4.0,7,
1051,静安东贤大厦,3,2.0,27.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,1,2.7
1052,上海诚达创意产业园区,3,,,4.06,29.0,9.0,3.0,9.0,26.0,1.0,7,
1053,加华商务广场,2,18.0,15.0,3.85,30.0,46.0,1.0,7.0,25.0,2.0,7,
1054,嘉定区西上海大厦,3,,,2.74,0.0,0.0,2.0,0.0,8.0,0.0,3,6.0
1055,上海中天科技商务园,3,7.0,2.0,2.33,0.0,0.0,0.0,1.0,4.0,0.0,3,4.68
1056,稻盛科研楼,3,,6.0,3.55,1.0,0.0,0.0,0.0,0.0,0.0,2,3.5
1057,梅龙镇广场,3,20.0,37.0,8.92,99.0,4.0,21.0,10.0,39.0,2.0,7,2.5
1058,上海电力国家大学科技园,2,11.0,9.0,5.07,6.0,10.0,0.0,7.0,18.0,1.0,6,
1059,艾库创想空间,3,1.0,6.0,2.84,3.0,0.0,0.0,1.0,2.0,0.0,4,
1060,兴中心 创尚工场,2,,4.0,2.74,13.0,0.0,1.0,2.0,12.0,1.0,6,
1061,沙田大厦,3,14.0,28.0,3.24,49.0,4.0,0.0,4.0,35.0,2.0,6,5.35
1062,绿地中心二期写字楼,3,,,4.56,15.0,2.0,2.0,2.0,11.0,1.0,7,
1063,中环协信天地,3,,,3.55,11.0,2.0,0.0,1.0,10.0,0.0,5,
1064,国际航运金融大厦,3,19.0,15.0,6.9,12.0,8.0,0.0,2.0,18.0,2.0,6,6.3
1065,圣天地商务大厦,3,13.0,25.0,3.11,41.0,8.0,3.0,2.0,30.0,1.0,7,4.72
1066,天安中心,3,14.0,30.0,7.3,70.0,9.0,18.0,18.0,39.0,1.0,7,2.42
