,名称,地址,类型,级别,物业费,空调类型,客梯数,货梯数,车位月租金,地上车位数,网络通讯,地下车位数,物业公司,楼内配套,入驻企业,安防系统,楼层数,竣工时间,总面积,标准层面积,标准层高,地下车位数2,净高,开发商,大堂层高,是否涉外,可注册,开间面积,外墙,租金
122,谊华大厦,虹口-四川北路-东宝兴路118号,写字楼,甲级,18,,2,1,,,,,谊远上海置业有限公司,,,,13,,,,,,,,,True,True,,,5.27
123,慧山科技园,长宁-北新泾-长宁路3333号,写字楼,乙级,9,分体空调,2,1,500,350,电信、联通、长城、铁通、移动、卫通,250,,银行、ATM、餐饮、便利店、食堂、商务中心,企业名称：上海中山建设实业发展总公司，所属行业：房地产/建筑,银行、ATM、餐饮、便利店、食堂、商务中心,6,2008年8月,6000,1500,3.2,250,3,上海交大科技园有限公司 上海中山建设实业发展总公司,5.2,False,True,200m²,花岗石,3.24
124,E通世界甲等商务功能园,青浦-徐泾-华徐公路999号 685号 966号,写字楼,甲级,10,,,,,,,,,,,,13,,,,,,,,,True,True,,,1.63
125,寰启商务大厦,闵行-浦江-浦江镇新骏环路115号-1,写字楼,甲级,6,,,,,,,,上海寰启投资管理有限公司,,,,9,2015年月,,,,,,,,True,True,,,1.93
128,联合汽车广场,静安-大宁绿地-沪太路1118号,写字楼,甲级,,分体空调,4,1,,400,,450,待定,,,,,2012年12月,69069,5000,6,450,,上海联合汽车大道开发建设有限公司,5.5,False,True,50-200m²,玻璃幕墙,3.24
129,金陵大厦,黄浦-人民广场-金陵西路28号,写字楼,乙级,30,集中式中央空调、半集中式中央空调,4,1,1200,30,电信、联通、移动,,,银行、ATM、餐饮、会议室、会展中心,企业名称：中国航空服务有限公司，所属行业：专业服务/教育/培训、企业名称：上海国际经济贸易委员会，所属行业：贸易/消费/制造/营运、企业名称：上海市对外服务有限公司，所属行业：专业服务/教育/培训、企业名称：德国ICS中文工业软件股份有限，所属行业：计算机/互联网/通信/电子、企业名称：日本株式会社迪思凯上海代表处9F，所属行业：贸易/消费/制造/营运,银行、ATM、餐饮、会议室、会展中心,18,1997年7月,9117,506,3.4,,2.5,,6,True,True,24m²、47m²、58m²、82m²,面砖,6.76
130,曹安国际商城,嘉定-丰庄-曹安路1833号,商业综合体,甲级,8,分体空调,4,4,300,2000,电信,3000,曹安国际商城自行管理,银行、ATM、餐饮、便利店、会展中心,企业名称：绿优城 食品，所属行业：政府/非赢利机构/其他,银行、ATM、餐饮、便利店、会展中心,10,2006年6月,6288,60,5.5,3000,5.5,上海腾昭置业发展有限公司,5.3,True,True,45m²、125m²,玻璃幕墙,1.3
132,信源张江广场,浦东-张江-龙东大道1288号,写字楼,甲级,12.5,,,,,,,,,,,,4,,,,,,,,,True,True,,,3.55
134,东旅大厦,浦东-塘桥-浦东南路1877号,写字楼,甲级,22,集中式中央空调,5,1,1000,20,电信、联通、移动、卫通,200,世邦魏理仕,银行、ATM、餐饮、便利店、食堂、干洗店、商务中心、会议室、会展中心,企业名称：上海天佑工程咨询有限公司，所属行业：政府/非赢利机构/其他、企业名称：上海爱家投资（集团）有限公司，所属行业：房地产/建筑、企业名称：上海浦东新区天佑市政有限公司，所属行业：房地产/建筑、企业名称：洋山申港国际石油储运有限公司，所属行业：能源/原材料、企业名称：上海益功进出口有限公司，所属行业：贸易/消费/制造/营运,银行、ATM、餐饮、便利店、食堂、干洗店、商务中心、会议室、会展中心,18,2007年10月,20000,680,3,200,2.5,上海爱家投资(集团)有限公司,4,False,True,55m²、125m²,玻璃幕墙,4.06
136,浦东海怡花园,浦东-陆家嘴-松林路111号,商业综合体,甲级,5,,,,,,,,上海上房物业有限公司,,,,3,1998年06月,,,,,,,,True,True,,,5.07
137,东华创意园,长宁-中山公园-杨宅路199号,创意园区,甲级,9,,,,,,,,,,,,,,,,,,,,,True,True,,,4.36
138,环线广场,徐汇-万体馆-宜山路515号,写字楼,乙级,2.5,分体空调,2,1,450,60,电信、联通、移动、有线通,300,上海万顺房地产开发公司,餐饮,企业名称：上海德华地毯有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海澳芬莱国际贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海沃康医疗器械有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海鼎川电子科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海置强房地产第六分公司，所属行业：房地产/建筑,餐饮,29,1997年3月,20000,500,3.3,300,2.6,上海万顺房地产开发公司,4.3,False,True,150m²、200m²,面砖,2.84
139,绿地峰尚汇,闵行-浦江-浦江镇浦星公路1919弄,写字楼,甲级,5,,,,,,,,上海彩生活物业管理公司,,,,8,2015年09月,,,,,,上海通盈置业有限公司,,True,True,,,1.52
140,城汇大厦,黄浦-淮海路-南昌路45号,写字楼,甲级,31,集中式中央空调、分体空调,6,3,1600,7,电信、联通,580,上海高力国际物业顾问有限公司,银行、ATM、餐饮,企业名称：哈雷摩托，所属行业：贸易/消费/制造/营运,银行、ATM、餐饮,19,2011年6月,31039,1330,3.7,580,2.7,上海宝盛房地产开发有限公司,3.2,True,True,303m²、410m²,玻璃幕墙,7.2
141,圣天地,普陀-长寿路-江宁路1145弄,酒店写字楼,甲级,8,集中式中央空调、分体空调,4,2,700,,电信、联通、长城、铁通、移动、卫通,200,上海世纪商务大厦物业管理有限公司,ATM、餐饮、便利店、食堂、干洗店、商务中心、会议室、会展中心,,ATM、餐饮、便利店、食堂、干洗店、商务中心、会议室、会展中心,23,2004年9月,34000,1470,5,200,,上海荣联房地产有限公司,5.4,False,False,50m²、100m²、200m²、300m²,面砖,2.84
143,创想家社区,杨浦-杨浦外滩-上海杨浦区军工路100号,写字楼,甲级,,,,,,,,,,,,,,,,,,,,,,True,True,,,2.54
146,四方科创园,嘉定-江桥-曹安公路2883号,写字楼,甲级,6,,,,,,,,四方物业,,,,10,2012年10月,,,,,,,,True,True,,,1.83
148,虹桥V1,长宁-虹桥开发区-虹桥路2535号,写字楼,甲级,15.5,,,,,,,,,,,,,,,,,,,,,True,True,,,4.26
149,中诣逸界产业园,闵行-颛桥-元江路3399号,写字楼,甲级,8,,,,,,,,,,,,,,,,,,,,,True,True,,,1.83
150,滨江创意产业园,杨浦-杨浦外滩-杨树浦路2218号,创意园区,乙级,,,1,1,,,,,,,,,4,,10000,,5,,4,,4,True,True,,涂料,4.87
152,锦科文化产业园,浦东-张江-秀沿路1670弄1号,写字楼,甲级,15,,,,,,,,卓廷旅游投资（上海）有限公司,,,,10,2014年01月,,,,,,卓廷旅游投资（上海）有限公司,,True,True,,,2.64
153,元福大厦,徐汇-徐家汇-虹桥路188号,写字楼,乙级,6,分体空调,3,1,800,50,电信、联通、有线通,50,上海元福物业管理有限公司,银行、ATM、餐饮、便利店,企业名称：上海市地方税务局徐汇分局，所属行业：政府/非赢利机构/其他、企业名称：宁波五谷金属制品有限公司上海办事处，所属行业：能源/原材料、企业名称：上海卓稳暖通设备有限公司，所属行业：贸易/消费/制造/营运、企业名称：非力室内装饰设计有限公司，所属行业：房地产/建筑、企业名称：倍思德金属制品有限公司，所属行业：贸易/消费/制造/营运,银行、ATM、餐饮、便利店,26,2000年8月,41854,800,3,50,2.5,上海元福房地产有限责任公司,3.8,False,True,80m²,大理石,3.77
154,绿地能源大厦,杨浦-五角场-国定东路233号,写字楼,甲级,25,集中式中央空调,6,2,800,600,电信、联通、长城、铁通,300,上海永绿置业有限公司,银行、ATM,企业名称：中润解放传媒，所属行业：广告/媒体,银行、ATM,24,2009年10月,25480,1500,2.7,300,3.2,绿地集团,10,True,True,120m²,玻璃幕墙,3.04
155,越洋国际广场,黄浦-南京东路-上海市南京西路1601号,商业综合体,甲级,12.5,,,,,,,,上海仲量联行物业管理有限公司,,,,43,2015年10月,,,,,,上海越洋房地产开发有限公司,,True,True,,,9.13
156,中瑞·商务大厦,普陀-中山北路-中山北路2438号,写字楼,甲级,20,,,,,,,,,,,,30,,,,,,,,,True,True,,,3.35
158,金汇德必易园,闵行-龙柏-吴中路1366号,商业综合体,乙级,12.75,,,,,,,,德必集团,,,,9,2017年4月,,,,,,德必集团,,True,True,,,3.24
160,九润商务大厦（徐汇 ）,徐汇-徐家汇-龙吴路2715号/银都路298号,商业综合体,甲级,8,,,,,,,,,,,,,,,,,,,,,True,True,,,1.72
163,金领之都B区,浦东-金桥-申江路2885号,写字楼,甲级,1.14,,,,,,电信、联通,,上海金陵物业,银行,,银行,11,2012年8月,40000,1000,,,,上海金陵股份有限公司,6,True,True,900m²、12300m²,大理石,3.04
164,中骏广场,闵行-华漕-闵行区申长路888号,写字楼,甲级,6,,,,,,,,世邦泰和物业有限公司,,,,6,2017年12月,,,,,,上海世邦泰和物业有限公司,,True,True,,,4.44
165,soho park1157园区,浦东-北蔡-康桥路1157号,写字楼,甲级,,,,,,,,,,,,,,,,,,,,,,True,True,,,4.08
166,上勤大厦,"静安-彭浦-寿阳路,近汶水路",写字楼,甲级,25,,,,,,,,上海市北高新(集团)有限公司,,,,13,2016年1月,,,,,,上海上勤物业管理有限公司,,True,True,,,3.55
169,越界智慧谷,徐汇-上海南站-石龙路329号,写字楼,甲级,15,,,,,,,,,,,,,,,,,,,,,True,True,,,3.35
171,麦腾创业天地,普陀-李子园-真南路822弄129号,写字楼,甲级,12,,,,,,,,,,,,,,,,,,,,,True,True,,,3.04
172,涌林社嘉宝商厦店,嘉定-嘉定城区-清河路55号,写字楼,甲级,5,,,,,,,,上海浛林企业管理有限公司,,,,7,2001年8月,,,,,,上海嘉宝奇伊房地产经营有限公司,,True,True,,,3.24
173,宏嘉大厦,浦东-陆家嘴-福山路388号,商业综合体,甲级,29,集中式中央空调,8,2,1600,20,电信、联通、移动、卫通,299,第一太平戴维斯,食堂、银行、ATM、餐饮、便利店,企业名称：西南证券，所属行业：会计/金融/银行/保险、企业名称：埃尔斯特计量仪表上海有限公司，所属行业：专业服务/教育/培训、企业名称：上海柏雅投资管理有限公司，所属行业：会计/金融/银行/保险、企业名称：连云港市徐新区上海招商展示中心，所属行业：政府/非赢利机构/其他、企业名称：竹菱上海电子贸易有限公司，所属行业：贸易/消费/制造/营运,食堂、银行、ATM、餐饮、便利店,28,2010年10月,62139,1795,3.4,299,2.8,上海宏嘉房地产开放有限公司,10,True,True,191m²、273m²、311m²,玻璃幕墙,8.11
178,新长征商务大厦,普陀-长风商务区-真北路1263号,写字楼,甲级,15,集中式中央空调、半集中式中央空调,2,1,400,100,电信、联通、移动,68,,餐饮,企业名称：22HOW婚礼日志，所属行业：专业服务/教育/培训、企业名称：佰龄恒，所属行业：贸易/消费/制造/营运、企业名称：SHE时尚舞蹈会所，所属行业：专业服务/教育/培训、企业名称：潘多拉婚纱摄影会馆，所属行业：专业服务/教育/培训、企业名称：朝日日语培训中心(普陀分部)，所属行业：专业服务/教育/培训、企业名称：上海热通机电设备工程有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海三特翻译公司，所属行业：专业服务/教育/培训,餐饮,18,2004年9月,25076,1007,3.5,68,2.6,上海新长征（集团）有限公司,10,True,True,30m²、70m²、170m²、200m²、270m²、400m²,玻璃幕墙,3.04
180,国际商务花园,长宁-北新泾-临虹路168弄,写字楼,甲级,25,分体空调,2,1,600,34,电信、移动,421,上海瑞创物业管理有限公司,食堂、餐饮、便利店、商务中心、会议室、会展中心,企业名称：报喜鸟集团有限公司，所属行业：贸易/消费/制造/营运、企业名称：昆山恒捷化工科技有限公司，所属行业：能源/原材料、企业名称：科莱恩化工集团，所属行业：贸易/消费/制造/营运,食堂、餐饮、便利店、商务中心、会议室、会展中心,6,2010年3月,76832,1500,3.85,421,3.2,上海虹桥经济技术开发区联合发展有限公司,7,True,True,700m²、1500m²,玻璃幕墙,4.06
182,中友大厦,普陀-曹杨-曹杨路1040弄,写字楼,乙级,3.5,分体空调,6,2,400,50,电信、联通、长城、铁通、移动、卫通、有线通,20,上海智盛置业有限公司,餐饮、便利店,企业名称：上海建工物资公司，所属行业：房地产/建筑、企业名称：上海住豪建筑工程有限公司，所属行业：房地产/建筑、企业名称：上海高更食品科技有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海柏康实业有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海住总工程材料有限公司，所属行业：贸易/消费/制造/营运,餐饮、便利店,28,2004年2月,660000,1168,3,20,2.6,中房集团华东置业股份有限公司,4.5,False,True,40m²、50m²、90m²、100m²,玻璃幕墙,2.78
183,财富时代大厦,普陀-长寿路-长寿路137号,写字楼,甲级,30,,7,1,1000,250,电信、联通、铁通、移动,100,上海中企物业管理有限公司,银行、ATM、餐饮、便利店、商务中心,企业名称：上海聚洲信息技术有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海雁翔国际会展有限公司，所属行业：专业服务/教育/培训、企业名称：试优网，所属行业：计算机/互联网/通信/电子、企业名称：上海福尔康不锈钢丸有限公司，所属行业：贸易/消费/制造/营运、企业名称：康佩商务咨询有限公司，所属行业：专业服务/教育/培训,银行、ATM、餐饮、便利店、商务中心,25,2005年2月,52000,2000,3.8,100,2.8,上海火炬房地产开发有限公司,8,True,True,50m²、90m²、150m²、200m²,玻璃幕墙,4.77
187,东方金融广场,浦东-八佰伴-世纪大道1168号,商业综合体,甲级,28,集中式中央空调,8,2,1250,30,电信、联通,400,第一太平戴维斯,食堂、银行、ATM、餐饮、便利店、干洗店、商务中心、会议室、会展中心,企业名称：顺诚商业地产，所属行业：房地产/建筑,食堂、银行、ATM、餐饮、便利店、干洗店、商务中心、会议室、会展中心,23,2011年10月,115327,2400,4.5,400,2.7,上海东方金融广场企业发展有限公司,14.5,True,True,519m²、746m²,玻璃幕墙,7.61
