,name,link-href,sources,surfaceRange,address,averageRent,averageBCRent,nameBC,floors,surface,floor_height,elevator,companys,building_surface,address_for_coordinate,latitude,longitude
1958,大华虎城商务中心,https://www.haozu.com/sh_xzl_25431/,19,169 - 1600m²,普陀  其他大华一路239弄1号  ,4.5,4.91,其他,13.0,66941m²,,6,,66941,普陀  其他大华一路239弄1号  ,31.2764968872,121.42111969
1959,华融大厦,https://www.haozu.com/sh_xzl_11821/,17,66 - 702m²,浦东  八佰伴南路12711289号  ,6.95,7.76,八佰伴,31.0,20025m²,3.6,10,圣大网络、英华美德学校、安讯软件有限公司,20025,浦东  八佰伴南路12711289号  ,31.234172821,121.522903442
1960,同济佳苑,https://www.haozu.com/sh_xzl_28892/,1,706m²,静安  静安寺康定路1033号附近  ,2.5,9.34,静安寺,,,,,,,静安  静安寺康定路1033号附近  ,31.2366638184,121.443618774
1961,聚安大厦,https://www.haozu.com/sh_xzl_11330/,1,60m²,静安  静安寺乌鲁木齐北路211号  ,4.1,9.34,静安寺,10.0,13000m²,3.2,2,福冈日本料理，上海洛垦进出口有限公司、高达(上海)工程咨询有限公司，,13000,静安  静安寺乌鲁木齐北路211号  ,31.2283706665,121.449188232
1962,苏宁天御国际广场,https://www.haozu.com/sh_xzl_2294/,18,87 - 271m²,普陀  长风新村丹巴路99号  ,4.53,5.04,长风新村,11.0,170000m²,4.2,4,,170000,普陀  长风新村丹巴路99号  ,31.2281398773,121.386230469
1963,智慧树创意产业园,https://www.haozu.com/sh_xzl_2229/,12,50 - 407.4m²,杨浦  控江路江浦路1500号  ,4.06,3.64,控江路,,20000m²,2.5,,,20000,杨浦  控江路江浦路1500号  ,31.2796993256,121.525695801
1964,首东国顺大厦,https://www.haozu.com/sh_xzl_1550/,2,230 - 350m²,杨浦  黄兴杨浦区国顺东路19号  ,3.15,24.11,黄兴,14.0,21455m²,3.9,,,21455,杨浦  黄兴杨浦区国顺东路19号  ,31.3103542328,121.547981262
1965,普陀齐成晟园,https://www.haozu.com/sh_xzl_41343/,136,48 - 1000m²,普陀  甘泉路新村路877号  ,3.24,3.28,甘泉路,,,,,,,普陀  甘泉路新村路877号  ,31.2724266052,121.420860291
1966,聚鑫钦江园,https://www.haozu.com/sh_xzl_18767/,2,1500m²,徐汇  漕河泾钦江路88号  ,4.2,4.78,漕河泾,6.0,,,,,,徐汇  漕河泾钦江路88号  ,31.1829681396,121.417129517
1967,疏影创意园,https://www.haozu.com/sh_xzl_36818/,1,50m²,闵行  莘庄疏影路1326号  ,1.5,3.29,莘庄,,,,,,,闵行  莘庄疏影路1326号  ,31.1207580566,121.35900116
1968,金谷中环大厦,https://www.haozu.com/sh_xzl_17710/,6,50 - 836.1m²,闸北  共和新路江场西路1313号  ,3.98,4.33,共和新路,20.0,24906m²,3.5,2,,24906,闸北  共和新路江场西路1313号  ,31.3048915863,121.457672119
1969,博华广场,https://www.haozu.com/sh_xzl_35469/,31,2800m²,静安  新闸路新闸路655号  ,12.5,8.11,新闸路,,,,27,,,静安  新闸路新闸路655号  ,31.243188858,121.468269348
