,name,link-href,sources,surfaceRange,address,averageRent,averageBCRent,nameBC,floors,surface,floor_height,elevator,companys,building_surface,store,mall,park,hotel,underground,park1500
1903,东方金融园,https://www.haozu.com/sh_xzl_11705/,3,343 - 560m²,浦东  塘桥东方路2981号  ,4.2,6.81,塘桥,6.0,15000m²,3.2,3,上海丰华（集团）股份有限公司、上海鼎盛港机有限公司、创厨（上海）餐饮管理有限公司,15000,6.0,0.0,6.0,0.0,1.0,3.0
1904,微格.屹创源,https://www.haozu.com/sh_xzl_23700/,26,198 - 1700m²,闵行  春申金都路1129号  ,1.8,2.85,春申,8.0,9800m²,3.2,2,,9800,2.0,3.0,2.0,1.0,0.0,1.0
1905,凯迪金融大厦,https://www.haozu.com/sh_xzl_1311/,6,330 - 556m²,杨浦  五角场翔殷路1088号  ,4.52,24.11,五角场,21.0,41024m²,3.9,6,上海花仙子酒店有限公司、青岛中正国际货运代理有限公司上海分公司、上海萤桥餐饮有限公司、上海新岛俱乐部有限公司,41024,23.0,15.0,23.0,13.0,2.0,5.0
1906,华山路1520弄121号,https://www.haozu.com/sh_xzl_40844/,36,51 - 583.7m²,长宁  新华路华山路1520弄121号  ,8.69,7.18,新华路,,,,,,,14.0,1.0,14.0,21.0,2.0,9.0
1907,天华信息科技园,https://www.haozu.com/sh_xzl_20776/,3,660 - 850m²,徐汇  龙华龙漕路299号  ,5.5,6.2,龙华,10.0,125465m²,3.9,,法国Quiksilver、东方财富网有限公司、每日经济报社、上海文思信息技术有限公司、上海捷成航空管理有限公司、世嘉（上海）软件有限公司、宜家（中国）投资有限公司、英佩数码上海有限公司、中国电信呼叫中心、远大医疗管理集团,125465,14.0,1.0,14.0,7.0,1.0,2.0
1908,万泰国际大厦,https://www.haozu.com/sh_xzl_2611/,1,230m²,静安  静安寺乌鲁木齐北路480号(华山...  ,6.0,9.34,静安寺,28.0,28747m²,3.6,6,企业名称：上海二轻工程造价咨询有限公司，所属行业：房地产/建筑、企业名称：上海好佳酒业贸易公司，所属行业：贸易/消费/制造/营运、企业名称：上海雅力留学，所属行业：专业服务/教育/培训、企业名称：施乐辉有限公司，所属行业：贸易/消费/制造/营运、企业名称：若邻广告，所属行业：广告/媒体,28747,21.0,3.0,21.0,21.0,0.0,3.0
1909,源达大厦,https://www.haozu.com/sh_xzl_2776/,36,63 - 200m²,普陀  长寿路长寿路360号  ,6.07,5.94,长寿路,30.0,72422m²,3.1,6,新南华长寿路大酒店有限公司(贸易/消费/制造/营运)、新华书店普陀区店长寿路店，大同证券经纪有限责任公司上海长寿路证券营业部，朗基投资管理有限公司(专业服务/教育/培训)、美洋投资管理咨询有限公司(会计/金融/银行/保险),72422,37.0,5.0,37.0,30.0,2.0,4.0
1910,鲁班路909号,https://www.haozu.com/sh_xzl_21593/,33,卓越E+,黄浦  西藏南路鲁班路909号  ,,,,,,,,,,5.0,0.0,5.0,2.0,1.0,2.0
1911,御河企业公馆,https://www.haozu.com/sh_xzl_1974/,54,92.8 - 1800m²,浦东  北蔡五星路568号  ,3.48,3.53,北蔡,,137270m²,,,,137270,0.0,0.0,,1.0,0.0,0.0
1912,华闻国际大厦,https://www.haozu.com/sh_xzl_3378/,12,99.9 - 393.2m²,长宁  虹桥中山西路999号  ,5.35,7.31,虹桥,20.0,50362m²,2.7,5,中国广庆集团中国广庆集团上海办事处上海办事处、上海宏司计算机信息有限公司、上海声联网络科技有限公司、上海亚细亚瓷砖、上海尚嘉咨询有限公司,50362,13.0,1.0,13.0,10.0,1.0,6.0
1913,电科滨江中心,https://www.haozu.com/sh_xzl_11140/,18,77 - 1432m²,卢湾  打浦桥龙华东路647号  ,8.31,6.86,打浦桥,14.0,30000m²,,2,,30000,14.0,2.0,14.0,10.0,0.0,3.0
1914,嘉马汇众创空间,https://www.haozu.com/sh_xzl_28972/,1,800m²,嘉定  新城嘉戬公路328号57楼  ,2.5,2.07,新城,,,,,,,5.0,1.0,5.0,1.0,0.0,1.0
1915,虹桥德必易园,https://www.haozu.com/sh_xzl_2166/,12,114 - 488m²,闵行  虹桥吴中路1189号  ,3.91,4.84,虹桥,8.0,25000m²,4,4,,25000,8.0,4.0,8.0,11.0,0.0,0.0
1916,南泉北路1010号,https://www.haozu.com/sh_xzl_40628/,1,704m²,浦东  八佰伴南泉北路1010号  ,4.8,7.76,八佰伴,,,,,,,33.0,11.0,33.0,19.0,1.0,3.0
1917,海富花园,https://www.haozu.com/sh_xzl_5227/,17,40 - 200m²,浦东  塘桥东方路1365号  ,3.79,6.81,塘桥,23.0,120000m²,2.6,2,上海万卓国际贸易有限公司,120000,14.0,1.0,14.0,9.0,1.0,19.0
1918,汇商大厦,https://www.haozu.com/sh_xzl_11844/,5,133 - 506.4m²,浦东  洋泾民生路1286号  ,6.92,8.67,洋泾,19.0,24145m²,3,3,上海杰杉健康科技有限公司、太平资产，,24145,3.0,2.0,3.0,4.0,1.0,16.0
