,name,hotel,hospital,mall,park1500,store,underground,rent
182,鲁能大厦,0.0,0.0,0.0,1.0,1.0,1.0,1.52
183,长春商务楼,23.0,4.0,3.0,3.0,22.0,2.0,2.84
184,绿地峰尚汇,0.0,0.0,1.0,2.0,4.0,0.0,1.48
185,斯米克大厦,55.0,8.0,10.0,3.0,24.0,2.0,4.36
186,华诚大厦,52.0,8.0,14.0,6.0,29.0,1.0,3.85
187,浦东假日酒店,0.0,0.0,5.0,5.0,6.0,1.0,4.56
188,亚龙国际广场,55.0,6.0,14.0,25.0,56.0,1.0,2.23
189,南翔新华悦都酒店式公寓,16.0,3.0,5.0,4.0,0.0,0.0,1.93
190,统一企业大厦,16.0,2.0,2.0,2.0,17.0,1.0,4.06
191,燎申漕宝大厦,19.0,4.0,0.0,5.0,15.0,1.0,3.24
192,红星国际广场,5.0,0.0,1.0,1.0,0.0,1.0,1.32
193,浦东丰华园,11.0,2.0,0.0,1.0,15.0,1.0,4.06
194,新塘桥生活广场,42.0,19.0,8.0,2.0,27.0,2.0,2.75
195,世达商务中心,16.0,3.0,2.0,1.0,22.0,1.0,3.55
196,龙之梦雅仕大厦,98.0,0.0,7.0,8.0,35.0,1.0,7.1
197,融汇958创意园,13.0,2.0,6.0,10.0,18.0,0.0,4.38
198,日月光集团,0.0,0.0,0.0,1.0,2.0,0.0,5.07
199,惠达大厦,75.0,16.0,11.0,12.0,0.0,2.0,3.55
200,国立大厦,76.0,25.0,9.0,4.0,37.0,1.0,5.11
201,华敏翰尊国际大厦,95.0,16.0,1.0,9.0,23.0,1.0,4.87
202,徐汇易园,76.0,11.0,4.0,10.0,36.0,0.0,3.24
203,太湖世家国际大厦,10.0,0.0,2.0,3.0,5.0,0.0,5.27
204,半岛科技园,3.0,0.0,0.0,1.0,1.0,0.0,4.06
205,锦城大厦,42.0,1.0,0.0,4.0,28.0,2.0,2.83
206,开隆大厦,56.0,3.0,5.0,5.0,41.0,1.0,2.54
207,浦东嘉里城,0.0,0.0,4.0,12.0,9.0,1.0,8.11
208,梅陇镇新都会,10.0,1.0,4.0,1.0,5.0,0.0,2.03
209,宇航大厦,105.0,4.0,0.0,6.0,73.0,1.0,3.04
210,上海金虹桥商务广场,21.0,1.0,0.0,0.0,12.0,0.0,3.85
211,尚嘉中心,33.0,3.0,10.0,8.0,22.0,0.0,7.71
212,景明商务大厦,18.0,0.0,0.0,1.0,26.0,1.0,2.49
213,金外滩国际广场,41.0,4.0,5.0,6.0,28.0,0.0,7.1
214,沪东金融大厦,30.0,3.0,20.0,3.0,28.0,3.0,3.55
215,晶采世纪大厦,140.0,9.0,17.0,26.0,43.0,3.0,6.08
216,中建时代广场,12.0,0.0,7.0,0.0,9.0,0.0,6.08
217,国家电网,46.0,5.0,6.0,5.0,0.0,0.0,6.08
218,上海大中里,128.0,15.0,11.0,26.0,38.0,3.0,10.14
219,明天广场,105.0,12.0,12.0,22.0,34.0,1.0,6.5
220,930创意园,37.0,7.0,1.0,7.0,0.0,1.0,3.55
221,天华信息科技园,41.0,6.0,0.0,4.0,16.0,4.0,4.06
222,上海科技京城,96.0,3.0,17.0,0.0,57.0,2.0,3.55
223,金虹桥广场,21.0,1.0,0.0,0.0,12.0,0.0,3.35
224,上海广场,57.0,7.0,24.0,29.0,43.0,3.0,6.0
225,上海开文大厦,1.0,0.0,0.0,0.0,0.0,0.0,3.45
226,上海商城,0.0,22.0,19.0,9.0,36.0,1.0,9.94
227,云端电商家园,0.0,0.0,0.0,1.0,5.0,0.0,2.53
228,华闻国际大厦,30.0,3.0,1.0,5.0,19.0,1.0,4.16
229,太平金融大厦,18.0,2.0,6.0,9.0,15.0,1.0,10.14
230,嘉里中心,116.0,4.0,12.0,0.0,30.0,1.0,10.14
231,明申中心大厦,33.0,1.0,6.0,6.0,15.0,2.0,3.85
232,1930鑫鑫创意园,26.0,12.0,2.0,8.0,46.0,1.0,3.55
233,机电大厦,63.0,1.0,4.0,5.0,37.0,1.0,3.65
234,虹漕园,3.0,2.0,0.0,2.0,11.0,0.0,3.04
235,上海松川大厦,0.0,0.0,0.0,1.0,4.0,0.0,1.62
236,瑞都大厦,20.0,3.0,8.0,1.0,0.0,1.0,4.26
237,恒达广场,85.0,6.0,5.0,6.0,0.0,2.0,2.78
238,花园坊上海节能环保中心,22.0,5.0,10.0,1.0,27.0,1.0,3.55
239,复兴广场,0.0,15.0,6.0,15.0,32.0,1.0,6.76
240,金城大厦,77.0,3.0,0.0,4.0,24.0,2.0,2.82
241,久事大厦,28.0,5.0,5.0,5.0,32.0,0.0,6.47
242,冠捷科技大楼,22.0,2.0,2.0,3.0,11.0,0.0,7.1
243,虹桥525创意园,21.0,5.0,7.0,0.0,12.0,0.0,3.35
244,世纪时空,0.0,6.0,15.0,6.0,36.0,1.0,4.33
245,德宏大厦,38.0,1.0,1.0,3.0,10.0,0.0,3.55
246,慧创国际C-2区,10.0,0.0,0.0,3.0,8.0,0.0,2.64
247,新金桥大厦,3.0,0.0,0.0,2.0,1.0,0.0,2.84
248,珠江创意中心,17.0,0.0,1.0,3.0,14.0,1.0,4.06
249,绿地蓝海,5.0,0.0,1.0,4.0,8.0,1.0,4.16
250,大吉地世贸大厦,70.0,14.0,3.0,12.0,23.0,0.0,4.58
251,上海环球实业大厦,31.0,5.0,1.0,2.0,19.0,2.0,12.0
252,外滩德必WE,32.0,0.0,20.0,11.0,34.0,0.0,8.05
253,港汇恒隆广场,71.0,4.0,17.0,10.0,30.0,3.0,3.95
254,东方世纪大厦,29.0,3.0,5.0,9.0,17.0,0.0,4.06
255,宏伊国际广场,189.0,18.0,27.0,11.0,81.0,1.0,7.61
256,绿地公园广场,13.0,0.0,4.0,1.0,5.0,0.0,1.45
257,嘉文国际中心,18.0,0.0,1.0,2.0,11.0,1.0,6.9
258,亚太企业大厦,81.0,4.0,16.0,12.0,28.0,1.0,4.06
259,汇智创意园,56.0,8.0,1.0,5.0,49.0,1.0,3.29
260,上海现代交通商务大厦,44.0,3.0,6.0,3.0,18.0,1.0,3.75
261,青慧谷,2.0,0.0,0.0,20.0,12.0,0.0,4.11
262,由由国际广场,44.0,22.0,8.0,2.0,27.0,3.0,6.08
263,新华园,17.0,1.0,2.0,5.0,29.0,0.0,3.35
264,尚品都汇,7.0,0.0,3.0,1.0,11.0,0.0,4.56
265,阳明国际创业园,1.0,0.0,0.0,0.0,2.0,0.0,1.52
266,新银大厦,3.0,3.0,0.0,3.0,9.0,0.0,3.35
267,同叶大厦,32.0,12.0,2.0,0.0,38.0,1.0,2.84
268,新一百大厦,190.0,5.0,20.0,7.0,62.0,1.0,5.07
269,建工•汇豪商务广场,0.0,8.0,2.0,1.0,7.0,0.0,4.21
270,新凤城商务中心,39.0,9.0,2.0,5.0,0.0,1.0,2.67
271,民润大厦,6.0,5.0,0.0,3.0,8.0,1.0,3.75
272,恒大长青坊创新园,13.0,2.0,1.0,4.0,28.0,1.0,3.19
273,鑫达商务楼,5.0,0.0,3.0,0.0,0.0,0.0,5.68
274,中国船舶大厦,0.0,5.0,2.0,5.0,31.0,0.0,7.61
275,科苑大楼,6.0,0.0,0.0,2.0,6.0,0.0,4.56
276,金陵商务广场,4.0,2.0,0.0,4.0,6.0,0.0,3.24
277,东渡国际大厦,3.0,4.0,2.0,4.0,5.0,0.0,4.56
278,银海大厦,103.0,0.0,4.0,8.0,26.0,1.0,2.84
279,弘基创邑国际园,51.0,8.0,1.0,7.0,28.0,0.0,4.87
280,金阳大厦,35.0,2.0,4.0,5.0,29.0,3.0,3.0
281,华依创新园,6.0,0.0,1.0,2.0,2.0,0.0,3.85
282,虹桥世界中心,85.0,0.0,0.0,0.0,4.0,0.0,4.06
283,新世纪办公中心,50.0,7.0,13.0,6.0,28.0,0.0,5.58
284,七莘红点城,27.0,2.0,1.0,2.0,15.0,0.0,3.55
285,舜元企业发展大厦A栋,0.0,0.0,0.0,5.0,22.0,2.0,6.08
286,环贸iapm,160.0,0.0,5.0,11.0,30.0,1.0,8.11
287,柳林大厦,52.0,7.0,19.0,25.0,51.0,1.0,5.63
288,漕河泾易园,76.0,11.0,4.0,10.0,35.0,0.0,3.24
289,中信五牛城,25.0,6.0,0.0,1.0,7.0,0.0,4.06
290,嘉春753园区,70.0,0.0,1.0,7.0,21.0,2.0,6.29
291,东华创意园,36.0,9.0,2.0,9.0,22.0,0.0,4.66
292,君庭广场,4.0,3.0,1.0,0.0,9.0,2.0,4.06
293,平高广场,20.0,2.0,2.0,6.0,16.0,1.0,2.74
294,鹰大虹桥科技园,3.0,1.0,3.0,1.0,7.0,0.0,3.55
295,中意国际,2.0,0.0,0.0,0.0,0.0,0.0,1.83
296,新曹杨高新技术工业园区,10.0,0.0,0.0,6.0,21.0,1.0,3.04
297,加华商务中心,37.0,47.0,2.0,6.0,26.0,2.0,3.85
298,优豪创展中心,29.0,13.0,3.0,3.0,19.0,1.0,3.08
299,乐都大厦,20.0,3.0,2.0,6.0,18.0,1.0,2.33
300,星创科技广场,8.0,1.0,1.0,0.0,1.0,0.0,5.17
301,江南造船大厦,31.0,7.0,1.0,6.0,27.0,2.0,4.06
302,福产财富广场,25.0,0.0,3.0,0.0,14.0,2.0,1.83
303,中金国际广场A座,99.0,5.0,15.0,9.0,26.0,2.0,6.5
304,绿地汇创国际广场,15.0,2.0,6.0,5.0,19.0,0.0,3.55
305,中融信托大厦,0.0,0.0,0.0,3.0,2.0,0.0,4.06
306,越商大厦,74.0,3.0,3.0,7.0,32.0,0.0,7.01
307,汤臣国际贸易大楼,15.0,0.0,0.0,0.0,10.0,1.0,1.52
308,科技领袖之都,3.0,1.0,0.0,0.0,7.0,0.0,4.36
309,财瑞大厦,93.0,7.0,2.0,11.0,17.0,2.0,5.88
310,丰树商业城,3.0,0.0,0.0,2.0,7.0,1.0,4.56
311,恒基大厦,246.0,20.0,26.0,12.0,83.0,1.0,5.01
312,振源大厦,35.0,1.0,3.0,6.0,19.0,1.0,3.24
313,快易名商商务中心,72.0,18.0,6.0,17.0,61.0,2.0,4.72
314,柴安大厦,67.0,7.0,4.0,5.0,29.0,0.0,5.01
315,中城大厦,144.0,8.0,2.0,14.0,28.0,1.0,2.23
316,鄂尔多斯艾力大厦,20.0,1.0,0.0,6.0,8.0,2.0,6.08
317,瑞丰国际大厦,20.0,3.0,0.0,3.0,34.0,1.0,7.1
318,七建大厦,36.0,1.0,3.0,5.0,21.0,2.0,3.85
319,创研智造,0.0,0.0,0.0,0.0,0.0,0.0,2.03
320,OASIS 新天地,74.0,14.0,5.0,27.0,21.0,2.0,5.67
321,祥腾财富广场,4.0,1.0,0.0,2.0,0.0,1.0,2.33
322,嘉汇广场,97.0,2.0,5.0,8.0,22.0,1.0,4.36
323,新宏大楼,20.0,6.0,3.0,8.0,30.0,1.0,3.04
324,中银大厦,14.0,2.0,3.0,10.0,22.0,1.0,10.14
325,和一大厦,71.0,17.0,7.0,8.0,27.0,0.0,3.66
326,金汇四季广场,0.0,2.0,5.0,0.0,15.0,0.0,4.26
327,兴园373,42.0,12.0,2.0,8.0,32.0,1.0,4.05
328,李子园大厦,7.0,10.0,0.0,2.0,9.0,2.0,2.78
329,长安大厦,68.0,0.0,4.0,6.0,32.0,1.0,2.64
330,道•创空间,69.0,4.0,17.0,11.0,27.0,3.0,1.52
331,置地广场,0.0,18.0,24.0,12.0,90.0,1.0,4.06
332,城开国际大厦,70.0,5.0,2.0,10.0,22.0,2.0,6.4
333,安基大厦,76.0,15.0,11.0,12.0,74.0,1.0,3.04
334,E通世界甲等商务功能园,2.0,0.0,0.0,0.0,3.0,0.0,1.63
335,白玉兰环保广场,11.0,4.0,3.0,8.0,19.0,2.0,2.94
336,炬芯研发大楼,8.0,0.0,0.0,0.0,3.0,0.0,3.33
337,浦东金融广场,70.0,3.0,0.0,5.0,21.0,2.0,6.59
338,浦江意优国际广场,0.0,0.0,0.0,0.0,0.0,0.0,1.87
339,汇阳广场,24.0,0.0,2.0,5.0,0.0,2.0,4.49
340,金领之都B区,3.0,1.0,0.0,1.0,5.0,0.0,3.04
341,科汇大厦,42.0,9.0,3.0,9.0,26.0,1.0,4.38
342,绿地海外滩中心B幢,10.0,0.0,1.0,3.0,14.0,0.0,5.07
343,天安数码城虹控T创园,38.0,3.0,4.0,14.0,48.0,1.0,4.56
344,光明大厦,66.0,3.0,0.0,10.0,35.0,0.0,6.29
345,智慧树创意园,37.0,7.0,1.0,5.0,50.0,0.0,4.05
346,X2创意园区2期,22.0,3.0,2.0,1.0,11.0,0.0,4.88
347,雍和创智广场,5.0,0.0,1.0,4.0,8.0,0.0,3.04
348,远东国际广场,27.0,6.0,5.0,7.0,15.0,0.0,5.58
349,联合汽车广场,20.0,0.0,2.0,7.0,15.0,0.0,4.11
350,香港广场,68.0,9.0,14.0,28.0,25.0,3.0,7.1
351,科恩国际中心,206.0,5.0,14.0,22.0,37.0,1.0,4.57
352,国际金融家,4.0,0.0,0.0,0.0,3.0,0.0,3.29
353,东海广场,87.0,24.0,15.0,7.0,35.0,1.0,5.58
354,鸿元中心,8.0,1.0,0.0,4.0,12.0,1.0,4.87
355,康宁大厦,70.0,6.0,0.0,11.0,60.0,1.0,4.36
356,湾谷科技园,3.0,0.0,0.0,3.0,4.0,0.0,3.09
357,岚桥国际大厦,57.0,8.0,12.0,3.0,23.0,1.0,6.91
