,name,link,rent,floors,surface,floor_height,elevator,companys
123,金鹰大厦,https://www.haozu.com/sh_xzl_4513/,7.8,21,66000,2.6,4,"金龙集团，东悦贸易，浙江网盛科技股份有限公司,"
124,上海建滔中心,https://www.haozu.com/sh_xzl_31615/,4.5,8,88332,3.8,,
125,歆翱产业园,https://www.haozu.com/sh_xzl_18394/,1.9,2,,3.5,2,
127,万荣一路90号,https://www.haozu.com/sh_xzl_21036/,3.2,,,,,
128,1929艺术空间创意园,https://www.haozu.com/sh_xzl_16381/,5,6,15000,3.3,4,
129,安意乐创中心,https://www.haozu.com/sh_xzl_31383/,2.5,,,,,
130,新汇园,https://www.haozu.com/sh_xzl_17274/,3.95,11,,3,1,上海卓扬科技有限公司、上海国电投资有限公司
131,市北高新技术服务园区,https://www.haozu.com/sh_xzl_39709/,3.66,,,,,
132,嘉汇国际广场,https://www.haozu.com/sh_xzl_1999/,6.52,35,484051,3,7,
133,大华虎城商务中心,https://www.haozu.com/sh_xzl_25431/,4.5,13,66941,,6,
134,新研大厦,https://www.haozu.com/sh_xzl_19231/,5.5,,40000,,1,
135,金领谷科技产业园,https://www.haozu.com/sh_xzl_21533/,1.94,8,226000,4-4.5,,上海意上实业有限公司、上海宝开物流系统有限公司
136,金钟大厦,https://www.haozu.com/sh_xzl_1522/,6.06,9,12000,3.8,3,企业名称：禅臣洋行有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海华翔法律咨询有限公司，所属行业：专业服务/教育/培训、企业名称：上海法格(上海)厨房设备国际贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海盈视影像设备有限公司，所属行业：贸易/消费/制造/营运、企业名称：艾多(上海)国际贸易有限公司，所属行业：贸易/消费/制造/营运
137,九润商务大厦（闵行）,https://www.haozu.com/sh_xzl_24733/,1.86,8,22000,3.8,,
138,中一大楼,https://www.haozu.com/sh_xzl_3588/,7,7,,2.8,1,"上海交运大件物流有限公司经营部,上海爱尔思国际货运公司(北京东路),耐思工业设备成套有限公司，玛氏食品（中国）有限公司"
139,荣欣大厦,https://www.haozu.com/sh_xzl_10917/,3.18,24,29000,3.2,2,上海广列电子科技有限公司分公司、上海集世达信息技术有限公司、训铭韩国语中心、上海虹越建筑工程有限公司
140,莘东置业大厦,https://www.haozu.com/sh_xzl_2925/,2.65,12,37595,3.6,3,
141,森宏旗臻,https://www.haozu.com/sh_xzl_12123/,5.3,14,25524,4.5,,
142,洛桑创客运动汇,https://www.haozu.com/sh_xzl_32486/,2.83,,,,,
