,name,type,age,floors,rent,hotel,hospital,mall,park1500,store,underground,POIs,floors_hz,surface_hz,floor_height_hz
700,中欣大厦,3,17.0,43.0,11.43,72.0,18.0,17.0,6.0,32.0,1.0,7,43.0,28000.0,4.0
701,安泰大楼,3,20.0,22.0,6.09,29.0,4.0,10.0,5.0,28.0,1.0,7,22.0,32627.0,4.0
702,中区广场,3,20.0,26.0,9.14,45.0,9.0,10.0,23.0,29.0,1.0,7,26.0,45228.0,3.6
703,金鹰大厦,3,14.0,21.0,7.8,10.0,0.0,2.0,20.0,9.0,0.0,5,21.0,66000.0,2.6
704,万嘉大厦,3,18.0,8.0,3.34,8.0,2.0,3.0,0.0,14.0,0.0,5,,,
705,桂平园,2,,7.0,3.6,1.0,1.0,0.0,3.0,8.0,1.0,6,7.0,5600.0,3.5
706,嘉麒大厦,3,13.0,19.0,6.54,7.0,2.0,3.0,8.0,10.0,0.0,6,19.0,24807.0,4.0
707,金岛大厦,2,17.0,22.0,4.6,25.0,4.0,14.0,5.0,29.0,3.0,7,22.0,35000.0,3.8
708,长峰中心,3,13.0,34.0,5.3,44.0,18.0,1.0,10.0,28.0,0.0,6,34.0,45400.0,3.6
709,天亿大厦,3,13.0,19.0,4.33,31.0,32.0,2.0,3.0,39.0,2.0,7,19.0,30000.0,3.4
710,同普大厦,3,8.0,9.0,3.56,10.0,4.0,0.0,2.0,1.0,0.0,5,,27703.0,3.6
711,创智天地,3,12.0,10.0,6.19,18.0,1.0,7.0,1.0,21.0,1.0,7,10.0,39040.0,5.0
712,金地威新闵行科创园,3,0.0,5.0,1.92,2.0,0.0,0.0,1.0,4.0,0.0,4,,,
713,蓝光科技园,3,,,3.28,1.0,0.0,0.0,0.0,0.0,0.0,2,5.0,,
714,江裕大厦,3,6.0,12.0,4.98,1.0,4.0,5.0,7.0,12.0,1.0,7,18.0,15600.0,3.7
715,长泰国际金融大厦,3,10.0,26.0,9.7,18.0,1.0,0.0,8.0,14.0,1.0,6,,47690.0,4.0
716,上海主角,3,8.0,10.0,7.5,2.0,0.0,1.0,5.0,3.0,0.0,5,,,
717,华清大厦,3,11.0,15.0,4.57,0.0,4.0,5.0,7.0,12.0,0.0,5,15.0,21000.0,3.8
718,华滋奔腾大厦,3,,24.0,2.98,5.0,1.0,2.0,1.0,1.0,2.0,7,24.0,101000.0,3.5
719,启迪大厦,3,10.0,16.0,5.17,0.0,4.0,4.0,6.0,11.0,0.0,5,16.0,30000.0,4.0
720,绿地商务大厦,3,12.0,23.0,5.8,30.0,3.0,4.0,7.0,23.0,1.0,7,23.0,46356.0,4.0
721,虹桥国际商务花园,3,,5.0,4.6,5.0,1.0,3.0,1.0,11.0,0.0,6,,28000.0,3.5
722,千羽创意园,2,11.0,5.0,5.0,54.0,15.0,3.0,11.0,47.0,2.0,7,5.0,5000.0,4.5
723,嘉兴大厦,3,22.0,24.0,5.6,41.0,7.0,1.0,5.0,20.0,2.0,7,26.0,30257.0,3.4
724,花旗集团大厦,3,13.0,40.0,15.25,9.0,2.0,6.0,10.0,11.0,1.0,7,42.0,120000.0,4.1
725,麦腾智慧天地,3,,,3.17,8.0,0.0,1.0,0.0,2.0,0.0,4,7.0,20000.0,2.8
726,燎申国际大厦,2,11.0,9.0,3.3,21.0,2.0,3.0,0.0,12.0,0.0,5,9.0,15000.0,3.5
727,新安大楼,3,13.0,15.0,4.5,10.0,1.0,0.0,5.0,9.0,1.0,6,15.0,20000.0,2.6
728,普罗娜商务广场,3,4.0,9.0,4.15,10.0,5.0,2.0,1.0,12.0,1.0,7,,,3.5
729,景鸿大厦,3,18.0,24.0,5.19,18.0,9.0,4.0,4.0,16.0,1.0,7,21.0,30000.0,3.4
